followers_count,friends_count,statuses_count,favourites_count,listed_count,verified,has_url,description_length,has_description,screen_name_length,name_length,follower_following_ratio,following_follower_ratio,engagement_rate,username_digit_ratio,account_age_days,tweet_count,mean_interval_sec,std_interval_sec,min_interval_sec,burst_ratio,night_post_ratio,posting_hour_std,daily_count_mean,daily_count_std,daily_count_cv,interval_entropy,label
15349596,692,9798,142,45568,1,1,50,1,4,4,22149.489177489177,4.508261682700855e-05,0.01449127461985917,0.0,6311,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,44,0,7,0,0,0,0,0,15,16,0.0,44.0,7.0,0.0,2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
762839,475,5518,953,3201,1,1,160,1,8,13,1602.6029411764705,0.0006226731686854386,0.1726762094582352,0.0,6301,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
327587,4801,192876,2946,1744,1,1,160,1,9,16,68.21886713869222,0.014655603990378158,0.015273982901019821,0.2,6414,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13324,647,103,729,44,0,1,103,1,14,17,20.561728395061728,0.04855534709193246,7.009615384615385,0.0,4585,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12601567,96,4879,177,26952,1,1,90,1,6,6,129913.06185567011,7.6180995888765586e-06,0.03627049180327869,0.0,6154,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
112403156,295385,31055,4532,550181,1,1,0,0,12,13,380.5297339752053,0.0026279066165374697,0.1459299330242143,0.0,6180,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2656850,168,1873,27,5279,1,0,82,1,11,19,15721.005917159764,6.323275185548607e-05,0.0144076840981857,0.0,6071,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,66,0,0,0,0,0,57,1,15,15,0.05970149253731343,13.2,0.0,0.5,2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14514819,3,204827,0,2861,1,1,146,1,9,3,3628704.75,2.0668530508817885e-07,0.0,0.1,5604,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3756,326,1020,59,155,0,1,152,1,5,17,11.486238532110091,0.08677136012776152,0.05778648383937316,0.0,6195,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
189379,163965,5947,2088,286,1,1,150,1,8,9,1.1549894490321164,0.8657989228007181,0.35104236718224613,0.0,4650,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7723523,348,269504,4953,6646,1,1,146,1,12,14,22130.438395415473,4.505715266761649e-05,0.01837813769688874,0.0,5887,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13120,1406,44434,2224,235,0,0,57,1,12,13,9.324804548685146,0.10715646673271854,0.05005063576009902,0.0,4901,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5174221,362,10743,11,19363,1,1,137,1,13,12,14254.052341597797,6.996220881129569e-05,0.0010238272524199553,0.0,6413,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1468,4,81,4,24,1,1,65,1,12,12,293.6,0.002722940776038121,0.04878048780487805,0.0,4326,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2829,789,211695,382,31,0,1,49,1,11,5,3.581012658227848,0.27879858657243817,0.0018044743405638273,0.0,6135,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
648,513,542,1419,7,0,1,42,1,13,14,1.2607003891050583,0.7904468412942989,2.613259668508287,0.0,5140,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
49,369,838,10097,0,0,0,0,0,14,4,0.13243243243243244,7.38,12.03456495828367,0.0,3484,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
